AAT;term=activity as tolerated
RSI;term=rapid sequence induction
RT;term=respiratory therapy
RVAD;term=right ventricular assist device
rx;term=treatment
Rx;term=treatment
S&O;term=salpingo-oophorectomy
S & O;term=salpingo-oophorectomy
SEE;term=syphilis elimination effort
SG cath;term=Swan-Ganz catheter
SIMV;term=synchronized intermittent mechanical ventilation
SIT;term=stress inoculation training
SK;term=streptokinase
sl;term=sublingual
SMT;term=spinal manipulative therapy
SNRI;term=serotonin-norepinephrine reuptake inhibitor
SR;term=slow release
SRS;term=stereotactic radiotherapy
SSRI;term=selective serotonin reuptake inhibitor
STH;term=somatotropic hormone
STOP;term=Surgical termination of pregnancy
Supp;term=suppository
SVN;term=small volume nebulizer
Sx;term=surgery
T&A;term=tonsillectomy with adenoidectomy
T & A;term=tonsillectomy with adenoidectomy
T&C;term=type and cross-match
T & C;term=type and cross-match
T&H;term=type and hold
T & H;term=type and hold
TAB;term=therapeutic abortion
TAH-BSO;term=total abdominal hysterectomy with bilateral salpingo-oophorectomy
TAH;term=total abdominal hysterectomy
TCA;term=tricyclic antidepressant
TCN;term=tetracycline
TEB;term=thoracic electrical bioimpedance
TEM;term=transmission electron microscopy
TENS;term=transcutaneous electrical nerve stimulator
TGF;term=tumor growth factor
THR;term=total hip replacement
TIPS;term=transjugular intrahepatic portosystemic shunt
TKA;term=total knee arthoscopy
TKO;term=keep vein open for IV therapy
TKR;term=total knee replacement
TKVO;term=to keep vein open
TME;term=total mesorectal excision
TNG;term=trinitroglycerin
TOT;term=transobturator tape
TPa;term=tissue plasminogen activator
TPA;term=tissue plasminogen activator
TPN;term=total parenteral nutrition
TRAM;term=transverse rectus abdominis myocutaneous flap
TRH;term=thyrotropin-releasing hormone
TSH;term=thyroid stimulating hormone
TSI;term=thyroid stimulating immunoglobulin
TTO;term=to take out
TTS;term=transdermal therapeutic system
TUR;term=transurethral resection
TURBT;term=transurethral resection of bladder tumor
TURP;term=transurethral resection of the prostate
TVH;term=transvagina hysterectomy
TVT;term=tension-free vaginal tape
tx;term=treatment
UD;term=as directed
UPJ;term=ureteropelvic junction
US;term=ultrasonogram
USG;term=ultrasonogram
USO;term=unilateral salpingo-oophorectomy
UVAL;term=ultraviolet argon laser
V/Q;term=ventilation/perfusion scan
VAD;term=ventricular assist device
VAS;term=vibroacoustic stimulation
VCTC;term=voluntary counselling and testing centers
VCUG;term=voiding cystourethrogram
VO;term=verbal order
VPA;term=valproic acid
VPAP;term=variable positive airway pressure
W/C;term=wheelchair
WBRT;term=whole-brain radiotherapy treatment
